epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4674,1.27914,3.1533,1.48877,0.00311,0.95455,0.41914,0.2272,1.20762,3.67727,1.54033,0.00026672,0.00026672,0.00026672
2,156.892,1.30911,2.51217,1.46904,0.00308,0.95455,0.0923,0.03871,1.38588,3.80981,1.70416,0.000531956,0.000531956,0.000531956
3,230.262,1.19247,2.27619,1.32049,0.34204,0.69697,0.63762,0.36243,1.28465,3.41976,1.63454,0.000778489,0.000778489,0.000778489
4,300.741,1.19436,1.92628,1.35295,0.85274,0.22727,0.6658,0.37395,1.31452,3.20392,1.63751,0.00100632,0.00100632,0.00100632
5,368.872,1.18155,1.89225,1.34388,0.8988,0.13636,0.73717,0.26252,1.73133,3.40591,2.12059,0.00121544,0.00121544,0.00121544
6,434.316,1.15523,1.96967,1.32099,0.89619,0.57948,0.69446,0.33843,1.4859,3.05804,1.97498,0.00139195,0.00139195,0.00139195
7,502.45,1.14512,1.79305,1.32616,0.54817,0.49068,0.5049,0.26291,1.66887,2.96381,2.36782,0.00133693,0.00133693,0.00133693
8,565.065,1.06675,1.60488,1.26035,0.59712,0.69697,0.73641,0.38501,1.64355,2.95834,2.51019,0.00128192,0.00128192,0.00128192
9,645.484,1.06579,1.57438,1.23484,0.5094,0.69697,0.62239,0.25704,1.86775,2.95838,2.56192,0.00122691,0.00122691,0.00122691
10,712.872,1.02863,1.46146,1.19343,0.60055,0.38482,0.53964,0.18112,2.07785,2.94647,2.78307,0.0011719,0.0011719,0.0011719
11,780.043,0.98167,1.45291,1.16636,0.79257,0.85688,0.76788,0.35813,1.62482,2.43081,2.12271,0.00111689,0.00111689,0.00111689
12,844.931,0.96248,1.33959,1.17949,0.85777,0.65152,0.68494,0.37187,1.72084,2.13218,2.30723,0.00106188,0.00106188,0.00106188
13,910.725,0.92808,1.28708,1.15106,0.79402,0.82008,0.77098,0.47763,1.58325,2.25134,2.06898,0.00100687,0.00100687,0.00100687
14,978.425,0.85834,1.20009,1.08179,0.7221,0.82747,0.79537,0.43743,1.71646,2.11145,2.16658,0.000951857,0.000951857,0.000951857
15,1041.4,0.90369,1.25268,1.12505,0.84713,0.85348,0.86526,0.45807,1.70897,2.06875,2.38244,0.000896846,0.000896846,0.000896846
16,1104.21,0.83629,1.15135,1.06897,0.77928,0.56061,0.60478,0.34739,1.64736,2.44545,2.2529,0.000841835,0.000841835,0.000841835
17,1166.59,0.80811,1.15079,1.1042,0.85583,0.68182,0.75393,0.39332,1.60732,2.3827,2.43478,0.000786824,0.000786824,0.000786824
18,1230.09,0.80948,1.07742,1.08757,0.94979,0.7124,0.83929,0.42066,1.52879,2.10807,2.32912,0.000731813,0.000731813,0.000731813
19,1298.07,0.76444,1.033,1.06275,0.92012,0.81818,0.87255,0.40671,1.70972,2.03435,2.43303,0.000676802,0.000676802,0.000676802
20,1384.19,0.76922,1.10555,1.08155,0.923,0.80596,0.88328,0.43358,1.69056,2.03197,2.36903,0.000621791,0.000621791,0.000621791
21,1456.13,0.65402,1.34818,0.95968,0.82355,0.68182,0.71626,0.31178,1.64023,2.5345,2.28122,0.00056678,0.00056678,0.00056678
22,1522.19,0.63281,1.25861,0.97058,0.77285,0.66052,0.64715,0.26637,1.70219,2.26282,2.44625,0.000511769,0.000511769,0.000511769
23,1586.27,0.62448,1.17697,0.96353,0.78888,0.88796,0.8634,0.4249,1.60613,1.95285,2.31182,0.000456758,0.000456758,0.000456758
24,1648.98,0.56626,1.09614,0.93057,0.94285,0.83781,0.91515,0.43976,1.55016,1.86458,2.24135,0.000401747,0.000401747,0.000401747
25,1711.78,0.5828,1.07932,0.948,0.90331,0.86364,0.90649,0.43476,1.48812,1.7772,2.13771,0.000346736,0.000346736,0.000346736
26,1772.93,0.52866,1.05186,0.93261,0.95291,0.90909,0.9276,0.45042,1.50029,1.61452,2.13373,0.000291725,0.000291725,0.000291725
27,1834.32,0.53239,1.02092,0.89675,0.901,0.86102,0.91738,0.44061,1.57117,1.71266,2.21778,0.000236714,0.000236714,0.000236714
28,1895.14,0.53655,1.00742,0.89704,0.93095,0.84307,0.90779,0.43716,1.58028,1.84691,2.20209,0.000181703,0.000181703,0.000181703
29,1957.84,0.49307,0.98462,0.88525,1,0.81696,0.90124,0.42492,1.616,1.88515,2.21876,0.000126692,0.000126692,0.000126692
30,2019.57,0.48048,0.95962,0.89337,0.77138,0.86364,0.86802,0.39651,1.62193,1.85607,2.25186,7.1681e-05,7.1681e-05,7.1681e-05
